icon,title,description
smoke_free,No Smoking,"Smoking is strictly prohibited inside the apartment and on balconies. $500 cleaning fee applies if violated."
pets,No Pets,Pets are not permitted as per body corporate by-laws
volume_off,Quiet Hours,"Please respect neighbours - quiet time 10 PM - 7 AM on weekdays, 11 PM - 8 AM weekends"
group,Guest Limit,"Maximum occupancy as per booking. No unregistered guests permitted."
celebration,No Parties,Parties and events strictly prohibited. Body corporate security will remove violators.
recycling,Recycling,"Yellow bin for recycling, red bin for general waste. Bins located in kitchen."
pool,Pool & Facilities,"Pool hours 6am-10pm. Children must be supervised. No glass in pool area."
local_parking,Parking,One car space only. No parking in visitor bays. Strictly enforced by body corporate.
